,Marginal,Node,Level,Branch,OR_Details,Additional_Stat,Tree
111,-98.40934921399156,0,14,0,"['TMEM258', 0, 0, 27, 352, nan]",-98.40934921399156,24
112,-5.924668999210814,0,14,1,"['TMEM258', 4, 0, 0, 0, nan]",-5.924668999210814,24
113,-5.6369869267590325,0,13,1,"['TSPYL6', 4, 0, 0, 0, nan]",-5.6369869267590325,24
114,-5.531626411101208,0,12,1,"['BMP4', 5, 0, 0, 0, nan]",-5.531626411101208,24
115,-5.243944338649426,0,11,1,"['FBLN5', 5, 0, 0, 0, nan]",-5.243944338649426,24
116,-5.110412946024903,0,10,1,"['KRT1', 6, 0, 0, 0, nan]",-5.110412946024903,24
117,-4.822730873573122,0,9,1,"['ZNF282', 6, 0, 0, 0, nan]",-4.822730873573122,24
118,-4.668580193745864,0,8,1,"['MEF2C', 7, 0, 0, 0, nan]",-4.668580193745864,24
119,-45.48276806971004,OBSCN,8,1,"['OBSCN', 0, 12, 28, 28, 0.0]",-45.48276806971004,24
120,-39.12674757781209,DNAH11,9,0,"['DNAH11', 0, 8, 28, 20, 0.0]",-39.12674757781209,24
121,-32.28623667563774,PDE8B,10,0,"['PDE8B', 0, 7, 28, 13, 0.0]",-32.28623667563774,24
122,-25.792528681058247,0,10,0,"['PDE8B', 0, 0, 28, 13, nan]",-25.792528681058247,24
123,-5.243944338649426,0,10,1,"['PDE8B', 0, 7, 0, 0, nan]",-5.243944338649426,24
124,-5.074045301854027,0,9,1,"['DNAH11', 0, 8, 0, 0, nan]",-5.074045301854027,24
125,-5.154088009527564,0,8,1,"['OBSCN', 0, 12, 0, 0, nan]",-5.154088009527564,24
126,-5.884975518070355,0,6,1,"['SEMA3D', 11, 3, 0, 0, nan]",-5.884975518070355,24
127,-3.923317012046904,0,5,1,"['GPRASP2', 8, 0, 0, 0, nan]",-3.923317012046904,24
128,-26.31388926864692,ITPR2,5,1,"['ITPR2', 0, 9, 29, 9, 0.0]",-26.31388926864692,24
129,-19.42717524088181,VPS13B,6,0,"['VPS13B', 0, 4, 29, 5, 0.0]",-19.42717524088181,24
130,-15.11805537701605,TNRC18,7,0,"['TNRC18', 0, 2, 29, 3, 0.0]",-15.11805537701605,24
131,-10.235253454429664,0,7,0,"['TNRC18', 0, 0, 29, 3, nan]",-10.235253454429664,24
132,-3.4000688682823568,0,7,1,"['TNRC18', 0, 2, 0, 0, nan]",-3.4000688682823568,24
133,-3.623212419596568,0,6,1,"['VPS13B', 0, 4, 0, 0, nan]",-3.623212419596568,24
134,-4.028677527704732,0,5,1,"['ITPR2', 0, 9, 0, 0, nan]",-4.028677527704732,24
135,-91.09985250940171,ESYT3,3,1,"['ESYT3', 8, 0, 46, 87, inf]",-91.09985250940171,24
136,-80.69205624583336,TAF5L,4,0,"['TAF5L', 24, 13, 22, 74, 6.20979]",-80.69205624583336,24
137,-47.80304543577291,MTRF1L,5,0,"['MTRF1L', 6, 0, 16, 74, inf]",-47.80304543577291,24
138,-40.45920655489803,OPA1,6,0,"['OPA1', 5, 1, 11, 73, 33.181816]",-40.45920655489803,24
139,-29.8967754959146,DICER1,7,0,"['DICER1', 4, 0, 7, 73, inf]",-29.8967754959146,24
140,-24.634825773537333,NELFCD,8,0,"['NELFCD', 2, 0, 5, 73, inf]",-24.634825773537333,24
141,-19.19208344038657,0,8,0,"['NELFCD', 0, 0, 5, 73, nan]",-19.19208344038657,24
142,-3.6877509407341376,0,8,1,"['NELFCD', 2, 0, 0, 0, nan]",-3.6877509407341376,24
143,-3.9108944920483473,0,7,1,"['DICER1', 4, 0, 0, 0, nan]",-3.9108944920483473,24
144,-4.498681156950467,0,6,1,"['OPA1', 5, 1, 0, 0, nan]",-4.498681156950467,24
145,-3.672002583765999,0,5,1,"['MTRF1L', 6, 0, 0, 0, nan]",-3.672002583765999,24
146,-21.63238920825152,PHLDB2,5,1,"['PHLDB2', 0, 6, 24, 7, 0.0]",-21.63238920825152,24
147,-16.40664253453831,0,5,0,"['PHLDB2', 0, 0, 24, 7, nan]",-16.40664253453831,24
148,-3.672002583765999,0,5,1,"['PHLDB2', 0, 6, 0, 0, nan]",-3.672002583765999,24
149,-3.347952867143342,0,3,1,"['ESYT3', 8, 0, 0, 0, nan]",-3.347952867143342,24
150,-43.95049785422448,ZNF652,2,1,"['ZNF652', 28, 3, 14, 36, 23.999998]",-43.95049785422448,24
151,-25.36611314536436,PSMD12,3,0,"['PSMD12', 1, 25, 13, 11, 0.033846155]",-25.36611314536436,24
152,-12.153827631344448,RPL19,4,0,"['RPL19', 10, 0, 3, 11, inf]",-12.153827631344448,24
153,-7.586878658176548,0,4,0,"['RPL19', 0, 0, 3, 11, nan]",-7.586878658176548,24
154,-3.836305635057275,0,4,1,"['RPL19', 10, 0, 0, 0, nan]",-3.836305635057275,24
155,-5.101972008388552,0,3,1,"['PSMD12', 1, 25, 0, 0, nan]",-5.101972008388552,24
156,-5.6166364084616935,0,2,1,"['ZNF652', 28, 3, 0, 0, nan]",-5.6166364084616935,24
0,-2224.180265973864,RNFT1,1,2,"['RNFT1', 57, 64, 764, 4212, 4.910094895287958]",-2224.180265973864,25
1,-2109.9488026108493,FSBP,2,0,"['FSBP', 83, 148, 681, 4064, 3.3467476]",-2109.9488026108493,25
2,-1932.713482426365,PTEN,3,0,"['PTEN', 137, 396, 544, 3668, 2.3326836]",-1932.713482426365,25
3,-1608.592816106824,CDK18,4,0,"['CDK18', 33, 49, 511, 3619, 4.769639]",-1608.592816106824,25
4,-1538.7852240816164,NPW,5,0,"['NPW', 17, 17, 494, 3602, 7.291498]",-1538.7852240816164,25
5,-1502.0478860406588,SLC2A2,6,0,"['SLC2A2', 7, 250, 487, 3352, 0.1927228]",-1502.0478860406588,25
6,-1455.928776065742,COQ9,7,0,"['COQ9', 10, 5, 477, 3347, 14.033543]",-1455.928776065742,25
7,-1435.6177326221305,ZNF805,8,0,"['ZNF805', 11, 8, 466, 3339, 9.8522]",-1435.6177326221305,25
8,-1412.5049123821966,AKT1,9,0,"['AKT1', 19, 31, 447, 3308, 4.535758]",-1412.5049123821966,25
9,-1367.9616759695557,PIK3CA,10,0,"['PIK3CA', 102, 439, 345, 2869, 1.9321779]",-1367.9616759695557,25
10,-1092.5118301910152,NUP58,11,0,"['NUP58', 8, 3, 337, 2866, 22.678535]",-1092.5118301910152,25
11,-1074.8853330420602,PPP1R1B,12,0,"['PPP1R1B', 28, 71, 309, 2795, 3.5671637]",-1074.8853330420602,25
12,-1003.5435685286052,LDB3,13,0,"['LDB3', 12, 13, 297, 2782, 8.646464]",-1003.5435685286052,25
13,-975.5586847076684,SLC43A2,14,0,"['SLC43A2', 7, 3, 290, 2779, 22.35977]",-975.5586847076684,25
14,-960.8224711282336,LRP1B,15,0,"['LRP1B', 18, 438, 272, 2341, 0.3536966]",-960.8224711282336,25
15,-871.8065042804047,POU5F2,16,0,"['POU5F2', 6, 1, 266, 2340, 52.781956]",-871.8065042804047,25
16,-858.3925882307664,IFNA6,17,0,"['IFNA6', 29, 82, 237, 2258, 3.3694553]",-858.3925882307664,25
17,-782.9921550875152,ABCF2,18,0,"['ABCF2', 7, 3, 230, 2255, 22.87681]",-782.9921550875152,25
18,-767.0918107790097,YIPF7,19,0,"['YIPF7', 6, 2, 224, 2253, 30.174107]",-767.0918107790097,25
19,-753.8207537826027,PORCN,20,0,"['PORCN', 4, 0, 220, 2253, inf]",-753.8207537826027,25
20,-745.7397648101053,TP53,21,0,"['TP53', 54, 896, 166, 1357, 0.49267158]",-745.7397648101053,25
21,-524.8054912710907,ATG9B,22,0,"['ATG9B', 7, 2, 159, 1355, 29.827044]",-524.8054912710907,25
22,-511.606510066937,ZFP64,23,0,"['ZFP64', 12, 18, 147, 1337, 6.0634923]",-511.606510066937,25
23,-481.970369294066,CDK4,24,0,"['CDK4', 12, 18, 135, 1319, 6.5135803]",-481.970369294066,25
24,-452.6072733618747,0,24,0,"['CDK4', 0, 0, 135, 1319, nan]",-452.6072733618747,25
25,-25.17677628038044,0,24,1,"['CDK4', 12, 18, 0, 0, nan]",-25.17677628038044,25
26,-22.24273757583179,0,23,1,"['ZFP64', 12, 18, 0, 0, nan]",-22.24273757583179,25
27,-9.794741496738906,0,22,1,"['ATG9B', 7, 2, 0, 0, nan]",-9.794741496738906,25
28,-204.84902757665296,ZNF717,22,1,"['ZNF717', 5, 0, 49, 896, inf]",-204.84902757665296,25
29,-192.25872752006012,BAZ1B,23,0,"['BAZ1B', 8, 10, 41, 886, 17.287806]",-192.25872752006012,25
30,-170.48383251824325,ABCB5,24,0,"['ABCB5', 8, 19, 33, 867, 11.0622015]",-170.48383251824325,25
31,-144.94895647230072,AXIN1,25,0,"['AXIN1', 4, 3, 29, 864, 39.72414]",-144.94895647230072,25
32,-130.5997220202395,0,25,0,"['AXIN1', 0, 0, 29, 864, nan]",-130.5997220202395,25
33,-11.861760518420184,0,25,1,"['AXIN1', 4, 3, 0, 0, nan]",-11.861760518420184,25
34,-21.0682811042935,0,24,1,"['ABCB5', 8, 19, 0, 0, nan]",-21.0682811042935,25
35,-16.991178348505912,0,23,1,"['BAZ1B', 8, 10, 0, 0, nan]",-16.991178348505912,25
36,-8.408447135619017,0,22,1,"['ZNF717', 5, 0, 0, 0, nan]",-8.408447135619017,25
37,-7.650761433921499,0,20,1,"['PORCN', 4, 0, 0, 0, nan]",-7.650761433921499,25
38,-8.79816388675904,0,19,1,"['YIPF7', 6, 2, 0, 0, nan]",-8.79816388675904,25
39,-8.931695279383563,0,18,1,"['ABCF2', 7, 3, 0, 0, nan]",-8.931695279383563,25
